atom_id,group_id
i100_02_7_10i,g1011
i100_02_7_10i,g1321
i100_02_7_1i,g7
i100_02_7_2i,g7
i100_02_7_3i,g7
i100_02_7_4i,g1011
i100_02_7_4i,g1321
i100_02_7_5i,g1011
i100_02_7_5i,g1321
i100_02_7_6i,g1011
i100_02_7_6i,g1321
i100_02_7_7i,g1011
i100_02_7_7i,g1321
i100_02_7_8i,g522
i100_02_7_8_1i,g522
i100_02_7_9i,g1011
i100_02_7_9i,g1321
i100_21_0_10i,g552
i100_21_0_11i,g552
i100_21_0_11_1i,g552
i100_21_0_12i,g1012
i100_21_0_12i,g1322
i100_21_0_1i,g551
i100_21_0_2i,g551
i100_21_0_3i,g551
i100_21_0_3_1i,g551
i100_21_0_4i,g1012
i100_21_0_4i,g1322
i100_21_0_5i,g1012
i100_21_0_5i,g1322
i100_21_0_6i,g1012
i100_21_0_6i,g1322
i100_21_0_7i,g1012
i100_21_0_7i,g1322
i100_21_0_8i,g1012
i100_21_0_8i,g1322
i100_21_0_9i,g552
i100_41_4_1i,g1013
i100_41_4_1i,g1323
i100_41_4_2i,g1013
i100_41_4_2i,g1323
i100_41_4_3i,g1013
i100_41_4_3i,g1323
i100_41_4_4i,g1013
i100_41_4_4i,g1323
i100_41_4_5i,g1013
i100_41_4_5i,g1323
i100_41_4_6i,g1013
i100_41_4_6i,g1323
i100_41_4_8i,g48
i100_41_4_8_1i,g48
i100_41_4_8_2i,g48
i100_41_4_8_3i,g48
i100_42_5_1i,g1014
i100_42_5_1i,g1324
i100_42_5_2i,g1014
i100_42_5_2i,g1324
i100_42_5_3i,g1014
i100_42_5_3i,g1324
i100_42_5_4i,g1014
i100_42_5_4i,g1324
i100_42_5_5i,g1014
i100_42_5_5i,g1324
i100_42_5_6i,g1014
i100_42_5_6i,g1324
i100_44_7_1i,g1015
i100_44_7_1i,g1325
i100_44_7_2i,g1015
i100_44_7_2i,g1325
i100_44_7_3i,g1015
i100_44_7_3i,g1325
i100_44_7_4i,g1015
i100_44_7_4i,g1325
i100_44_7_5i,g1015
i100_44_7_5i,g1325
i100_44_7_6i,g1015
i100_44_7_6i,g1325
i100_44_7_8i,g648
i100_75_4_3i,g1308
i100_75_4_3i,g1326
i100_75_4_3i,g310
i100_75_4_4i,g1308
i100_75_4_4i,g1326
i100_75_4_5i,g1308
i100_75_4_5i,g1326
i100_75_4_6i,g1308
i100_75_4_6i,g1326
i100_75_4_7i,g1308
i100_75_4_7i,g1326
i100_75_4_8i,g1308
i100_75_4_8i,g1326
i101_14_4_10i,g1016
i101_14_4_10i,g1327
i101_14_4_11i,g1016
i101_14_4_11i,g1327
i101_14_4_12i,g312
i101_14_4_12_1i,g312
i101_14_4_12_2i,g312
i101_14_4_13i,g1016
i101_14_4_13i,g1327
i101_14_4_14i,g882
i101_14_4_15i,g1016
i101_14_4_15i,g1327
i101_14_4_16i,g883
i101_14_4_17i,g1017
i101_14_4_17i,g1328
i101_14_4_1i,g311
i101_14_4_1_1i,g311
i101_14_4_1_2i,g311
i101_14_4_2i,g1017
i101_14_4_2i,g1328
i101_14_4_3i,g1017
i101_14_4_3i,g1328
i101_14_4_4i,g1017
i101_14_4_4i,g1328
